,Название,Описание,Цена,words
642,"Одежда~Рубашки, толстовки, свитера~Рубашки~Рубашка JACK WOLFSKIN ROGALAND","Рубашка ROGALAND SHIRT всегда будет к месту: в городе, в горах или в офисе. Эта флисовая рубашка обеспечивает дополнительное тепло, столь необходимое в холодную погоду.
Флисовая ткань   NANUK 150 HEATHER с легким меланжевым узором приятна на ощупь, а внешне похожа на натуральную шерсть. Рубашка имеет нагрудный карман на молнии — надежное место для хранения небольших мелочей. Помимо прочего, рубашка имеет усиления на локтях повышающие её износостойкость.",3495,"рубашка_NOUN,толстовка_NOUN,свитер_NOUN,одежда_NOUN"
643,пусто,"Свежие, морозные дни – отличная погода для хайкинга. MOONSHINE ALTIS согреет вас, пока вы двигаетесь по маршруту.
Толстый флис марки NANUK 300 на 100% изготовлен из переработанных материалов. Если начинается дождь, снег или поднялся сильный ветер, вы можете состегнуть куртку с верхней курткой (система "" 3 in 1"").",2247,
644,Одежда~Куртки~Флисовые куртки~Куртка JACK WOLFSKIN VERTIGO,"Эта куртка одинаково удобна в качестве верхнего или среднего слоя одежды, отлично подойдет для занятий спортом или отдыха на открытом воздухе.
Куртка VERTIGO стала одной из самых универсальных флисовых курток. Теплая, прочная и легкая в уходе, эта куртка станет замечательным спутником в ваших приключениях.
Теплый флис марки NANUK 200 полностью выполнен из переработанных материалов. Благодаря универсальной молнии, в ненастную погоду флисовую  куртку можно состегнуть с верхней защитной курткой. Большой нагрудный карман, подойдет для хранения документов или гаджетов.",1947,"куртка_NOUN,одежда_NOUN"
645,Одежда~Куртки~Флисовые куртки~Куртка JACK WOLFSKIN MIDNIGHT MOON,"Возвращение к классике. Наша классическая флисовая куртка MIDNIGHT MOON MEN разработана специально для хайкинга, треккинга и прочих видов активного отдыха. Застежка - молния позволяет состегнуть ее с подходящей моделью защитной мембранной куртки. 
Долговечный флис марки NANUK 150 полностью изготовлен из переработанных материалов. Он обеспечивает оптимальную теплоизоляцию и идеально подходит для треккинга.",1947,"куртка_NOUN,одежда_NOUN"
646,пусто,"Мечтаете о незабываемой встрече Нового года в одном из крупнейших городов мира? WINTER TRAVEL PANTS — абсолютный ""маст-хэв"" в вашем зимнем гардеробе, если, конечно, вы едете не в Австралию. Брюки удачно сочетают в себе функциональность и комфорт софтшелла и стильный повседневный дизайн.
Слегка эластичная и чрезвычайно комфортная ткань делает эти брюки идеально подходящими для зимних экскурсий, а также прогулки по Рождественской ярмарке или после новогодней вечеринки. Если вам интересно, они очень теплые и уютные. 
А самое главное, благодаря специальной ткани со стильным меланжевым 
узором, эти брюки больше напоминают обычные джинсы, чем технологичные походные брюки. Это позволит вам превосходно
выглядеть в любом городе.",5592,
647,пусто,"Если вы любите хайкинг и лыжные кроссы в прохладные и ветреные осенние или зимние дни, вам определенно понравятся брюки ZENON SOFTSHELL PANTS. Эти брюки из софтшела выполнены в спортивном стиле идеально подходят для активного зимнего отдыха. 
Эффективную теплоизоляцию обеспечивают ветрозащитная фронтальная сторона и флисовая изнанка. Эластичная ткань FLEX SHIELD на задней стороны штанины не только блокирует легкий ветер и дождь, но и обеспечивает отличную воздухопроницаемость. Короткие молнии на лодыжках позволяют легче надевать и снимать высокие ботинки.",3745,
648,Одежда~Брюки~Треккинговые брюки~Брюки JACK WOLFSKIN ZENON SOFTSHELL,"Температура около нуля и легкий северо-восточный ветер? Кажется, это отличный день для зимней прогулки! Брюки ZENON SOFTSHELL подарят непревзойденный комфорт на протяжении всего пути. Эффективную теплоизоляцию этих обеспечивает ветрозащитной  ткани и флисовой подкладки. 
Эластичная ткань FLEX SHIELD  сзади не только блокирует легкий ветер и дождь, но и обеспечивает отличную воздухопроницаемость. 
Короткие молнии на лодыжках позволяют легче надевать и снимать высокие ботинки.",3745,"брюки_NOUN,одежда_NOUN"
649,Одежда~Брюки~Треккинговые брюки~Брюки JACK WOLFSKIN WINTER TRAVEL,"Зимние туры по крупным городам станут намного комфортнее. Эти брюки удачно сочетают в себе функциональность и комфорт софтшелла и стильный повседневный дизайн. 
Слегка эластичная и чрезвычайно комфортная ткань делает эти брюки идеально подходящими для зимних путешествий, а также прогулки по Рождественской ярмарке или после новогодней вечеринки. Изнанка с начесом способствует сохранению тепла и делает брюки особенно уютными. 
А самое главное, благодаря специальной ткани со стильным меланжевым 
узором, брюки больше напоминают обычные джинсы, чем технологичные походные брюки. Это позволит вам выглядеть превосходно в любом городе.",5592,"брюки_NOUN,одежда_NOUN"
650,"Одежда~Рубашки, толстовки, свитера~Рубашки~Рубашка JACK WOLFSKIN ALIN","Рубашка ALIN SHIRT сшита из легкой фланели, она мягко прилегает к телу и дарит ощущение комфорта. С первых снежинок и до последнего зимнего утра — вы будете прекрасно чувствовать себя в этой рубашке.
Есть нагрудный карман для хранения важных мелочей.",2295,"рубашка_NOUN,толстовка_NOUN,свитер_NOUN,одежда_NOUN"
651,"Одежда~Рубашки, толстовки, свитера~Рубашки~Рубашка JACK WOLFSKIN FRASER ISLAND","Клетчатая фланелевая рубашка FRASER ISLAND сшита из натурального хлопка. Теплая рубашка FRASER ISLAND невероятно комфортная и приятна на ощупь. Идеальна для путешествий и отдыха.
Нагрудный карман предназначен для хранения важных мелочей.",2295,"рубашка_NOUN,толстовка_NOUN,свитер_NOUN,одежда_NOUN"
652,пусто,"Прогуливаясь зимой по берегу замерзшего залива, вы останавливаетесь поболтать с местным рыбаком. А благодаря HIGH RANGE JACKET вы можете не спешить и не бояться холода. Ведь высококачественный утеплитель MICROGUARD ECOSPHERE и ветронепроницаемая ткань STORMLOCK не оставляют зимней непогоде никаких шансов.
Именно сочетание инновационного утеплителя и ветронепроницаемой верхней ткани, беспощадное для холода, делает HIGH RANGE такой невероятно теплой. А поскольку область плеч больше всего страдает от дождя и постоянного трения лямками рюкзака, она оснащена усиливающими вставками из материала TEXAPORE. 
Капли дождя и хлопья снега просто скатываются с поверхности ткани. А синтетический утеплитель в области плеч продолжит согревать, даже если намокнет. В пяти карманах достаточно места для вашего смартфона, ключей и прочих мелочей.",5397,
653,Одежда~Куртки~Городские куртки~Пальто JACK WOLFSKIN CRYSTAL PALACE,"Пальто CRYSTAL PALACE  идеально подходит для морозных дней.
Эта куртка — одна из самых теплых в зимней коллекции Jack Wolfskin. Вы поймете, насколько она теплая, как только наденете ее. Теплоизоляция достигается благодаря толстому слою  утиного пуха и ветронепроницаемому материалу STORMLOCK. Благодаря свободному крою пальто, вы можете надеть под него толстый пуловер.
Пальто оснащено удобным капюшоном, утепленным высоким воротником, а наружный материал приятен и мягок на ощупь. Стильный удлиненный крой позволят вам оставаться на высоте в самые холодные дни предстоящей зимы.",11400,"городской_ADJ,пальто_NOUN,куртка_NOUN,одежда_NOUN"
654,Одежда~Аксессуары~Шапки~Балаклава JACK WOLFSKIN FINLEY HOODY,"Комбинированный детский шарф-капюшон. Выполнен из материала NANUK SWEATER LIGHT - легкий и эластичный флис, напоминающий шерсть, внутри сетчатая подкладка.",945,"балаклава_NOUN,аксессуар_NOUN,шапка_NOUN,одежда_NOUN"
655,Одежда~Термобелье~Футболка JACK WOLFSKIN CROSSTRAIL LONGSLEEVE,"Если спорт является неотъемлемой частью вашей жизни, и вы предпочитаете проводить выходные на природе, то вам необходима эта функциональная базовая вещь для тренировок. Легкая футболка, которую можно носить круглый год, подходит для тренировок в зале и на природе.
Материал футболки отлично дышит и мгновенно высыхает. В теплую погоду ткань слегка холодит, а функция сохранения свежести минимизирует неприятный запах.",2093,"термобелье_NOUN,футболка_NOUN,одежда_NOUN"
656,Походное снаряжение~Рюкзаки~Рюкзаки от 20 до 30 литров~Рюкзак JACK WOLFSKIN BOXCAR 30,"Городской рюкзак BOXCAR 30 сочетает в себе современный дизайн и высокотехнологичную функциональность. Будучи 100% водонепроницаемым, этот рюкзак достаточно стильный, чтобы каждый день сопровождать вас в городских приключениях.
Этот городской рюкзак — часть серии HERMETIC, разработанной для тех, кому важно, чтобы их снаряжение соответствовало самым высоким требованиям. Он выполнен из специального ламинированного хлопка, который не только чрезвычайно прочный, но и полностью водо- и пыленепроницаемый. С рюкзаком BOXCAR мы можете быть уверены что ваше снаряжение защищено лучше, чем под стандартным непромокаемым чехлом для рюкзака.
Специальные застежки-молнии на двух основных отделениях являются ключевой особенностью этого городского рюкзака. Это застежки YKK AQUASEAL®, и они настолько водонепроницаемы, что вы можете полностью погрузить рюкзак BOXCAR в воду, и в него не попадет ни капли. Ткань спаяна, а не сшита, поэтому у рюкзака нет швов. Это означает, что у воды и пыли просто нет шансов попасть внутрь — немаловажное преимущество для тех, кто собирается в пустыню или идет пешком через весь город под проливным дождем. Молнии оснащены удобными петлями под палец.
Внутри имеются два основных отделения, одно большое, и одно маленькое, предназначенные для повседневных вещей или для снаряжения, необходимого в путешествии. Внутри маленького отделения предусмотрен мягкий карман для планшета и органайзер из нескольких маленьких кармашков для мелочей.
Помимо этого есть еще один маленький карман на молнии на передней части рюкзака.",28980,"снаряжение_NOUN,рюкзак_NOUN,походный_ADJ,литр_NOUN"
657,Походное снаряжение~Рюкзаки~Рюкзаки до 20 литров~Рюкзак JACK WOLFSKIN BOXCAR 20,"Городской рюкзак BOXCAR 20 сочетает в себе современный дизайн и высокотехнологичную функциональность. Будучи 100% водонепроницаемым, этот рюкзак достаточно стильный, чтобы каждый день сопровождать вас в городских приключениях.
Этот городской рюкзак — часть серии HERMETIC, разработанной для тех, кому важно, чтобы их снаряжение соответствовало самым высоким требованиям. Он выполнен из специального ламинированного хлопка, который не только чрезвычайно прочный, но и полностью водо- и пыленепроницаемый. С рюкзаком BOXCAR мы можете быть уверены что ваше снаряжение защищено лучше, чем под стандартным непромокаемым чехлом для рюкзака.
Специальные застежки-молнии на двух основных отделениях являются ключевой особенностью этого городского рюкзака. Это застежки YKK AQUASEAL®, и они настолько водонепроницаемы, что вы можете полностью погрузить рюкзак BOXCAR в воду, и в него не попадет ни капли. Ткань спаяна, а не сшита, поэтому у рюкзака нет швов. Это означает, что у воды и пыли просто нет шансов попасть внутрь — немаловажное преимущество для тех, кто собирается в пустыню или идет пешком через весь город под проливным дождем. Молнии оснащены удобными петлями под палец.
Внутри имеются два основных отделения, одно большое, и одно маленькое, предназначенные для повседневных вещей или для снаряжения, необходимого в путешествии. Внутри маленького отделения предусмотрен мягкий карман для планшета и органайзер из нескольких маленьких кармашков для мелочей.
Помимо этого есть еще один маленький карман на молнии на передней части рюкзака.",25990,"снаряжение_NOUN,рюкзак_NOUN,походный_ADJ,литр_NOUN"
658,Походное снаряжение~Рюкзаки~Сумки~Сумка JACK WOLFSKIN TWEEDSTER,"TWEEDSTER — это удобная сумка через плечо, которая может также служить в качестве велосипедной. Она идеально подходит по размеру для вашего мобильного телефона и денег или ремонтного набора для велосипеда. Ее можно удобно носить на плече или прикрепить к рулю или раме велосипеда.
Источником вдохновения для создания серии рюкзаков и сумок TWEED RUN стало одноименное лондонское мероприятие, участники которого, одетые в твидовые костюмы в стиле XIX века, проезжают через самые ""хипповые"" места Лондона на винтажных велосипедах.",2023,"снаряжение_NOUN,рюкзак_NOUN,походный_ADJ,сумка_NOUN"
659,Походное снаряжение~Рюкзаки~Баулы~Баул JACK WOLFSKIN EXPEDITION TRUNK 65,"Прочная сумка Jack Wolfskin для транспортировки больших грузов по пересеченной местности.
Водонепроницаемый, устойчивый к истиранию материал, водоотталкивающие молнии, можно переносить на спине с помощью двух плечевых ремней.
В сумке Expedition Trunk есть объёмное основное отделение, три дополнительных отделения, ручка для переноски и возможность крепления вещей снаружи.
Мелкие вещи можно аккуратно рассортировать по внутренним отделениям в основном отделении или переднем кармане. 
Здесь снаряжение будет защищено от влаги, потому что мы использовали водоотталкивающую застежку-молнию. 
Эту прочную сумку можно носить за короткие ручки или распаковать плечевые ремни и носить ее как рюкзак.",9980,"снаряжение_NOUN,рюкзак_NOUN,походный_ADJ,баул_NOUN"
660,Походное снаряжение~Рюкзаки~Детские рюкзаки и переноски~Детский рюкзак JACK WOLFSKIN KIDS EXPLORER 20,"На школьных экскурсиях или в поездках в кемпинг, ребенку не обойтись без удобного рюкзака. Детский рюкзак KIDS EXPLORER разработан специально для детей от 6 лет и обеспечивает максимальный среди представителей своего класса комфорт.
В просторном основном отделении достаточно места для перекуса, бутылки с водой, шапки и непромокаемой куртки. Рюкзак достаточно просторный, чтобы использовать его как школьный, и идеально подходит для поездок вместе с классом. Система подвески, адаптированная специально под детей, позволяет носить рюкзак весь день, не уставая, и рассчитана на анатомические особенности детей младшего школьного возраста.
В комплект также входит складной коврик-сидушка, который можно убрать в передний карман — удобная деталь для привала в походе.",4290,"снаряжение_NOUN,детский_ADJ,переноска_NOUN,рюкзак_NOUN,походный_ADJ"
661,Походное снаряжение~Газовое оборудование~Газовые горелки и плиты~Газовая горелка Robens Fire Bug Stove Titanium,"Газовая горелка сделана из трех сплавов: алюминия, латуни и титана.
Устойчивая конструкция позволяет вскипятить даже большой котел воды. Незаменимая вещь, если вы едете отдыхать компанией. 
Несмотря на свою мощность и надежность, горелка компактно складывается и практически ничего не весит.",6730,"снаряжение_NOUN,газовый_ADJ,горелка_NOUN,плита_NOUN,оборудование_NOUN,походный_ADJ"
662,Походное снаряжение~Газовое оборудование~Газовые горелки и плиты~Газовая горелка Robens Fire Midge Stove Titanium,"Fire Midge stove titanium — одна из лучших компактных газовых горелок. Модель удовлетворяет наиболее взыскательным запросам туристов.
Миниатюрное, почти невесомое изделие обладает внушительной мощностью. Горелка изготовлена из устойчивого к коррозии и механическим повреждениям титана. 
Модель без пьезоподжига устанавливается непосредственно на резьбовой газовый баллон. Высота пламени регулируется плавно, при этом риски обжечься  исключены.
Горелка экономно расходует топливо. Допустимо использование посуды с плоским и выпуклым днищем небольшого диаметра. Зубцы на лапках надежно фиксируют посуду.",3850,"снаряжение_NOUN,газовый_ADJ,горелка_NOUN,плита_NOUN,оборудование_NOUN,походный_ADJ"
663,Походное снаряжение~Посуда~Наборы посуды~Набор посуды Robens Cookery King,"Универсальный набор для приготовления пищи имеет компактный размер в сложенном виде. Все кастрюли имеют антипригарное покрытие. 
В набор входит: 2 кастрюли (1700 мл / 1400 мл), 1 кастрюля (с антипригарным покрытием, диаметр 19 см), 1 крышка, 1 захват, разделочная доска / поддон для защиты от камней, стабилизатор и защита от ветра, ремешок и сетчатый мешок в комплекте.
В комплекте еще идет спиртовка, которую всегда можно взять с собой в качестве НЗ.",8850,"снаряжение_NOUN,походный_ADJ,набор_NOUN,посуда_NOUN"
664,Походное снаряжение~Газовое оборудование~Газовые горелки и плиты~Горелка Robens Firefly,"Robens Firefly stove - легкая и компактная газовая горелка с максимальной мощностью 3000 Вт. Модель устанавливается прямо на газовый картридж, который служит основой для ""плиты"". Складной держатель. В комплект включен жесткий чехол для безопасной транспортировки.",2220,"снаряжение_NOUN,газовый_ADJ,горелка_NOUN,плита_NOUN,оборудование_NOUN,походный_ADJ"
665,Походное снаряжение~Посуда~Миски~Миска с теркой Outwell Collaps Bowl & Lid w/Grater Terracotta,"В сложенном виде миска с теркой в крышке Outwell практически плоская. 
Противоударная, легко моется и складывается/раскладывается.",2760,"снаряжение_NOUN,терка_NOUN,походный_ADJ,миска_NOUN,посуда_NOUN"
666,Походное снаряжение~Посуда~Миски~Набор мисок Outwell Collaps Bowl Set,"Складные миски для холодной пищи.
В сложенном виде миска напоминает диск, то есть почти плоская. Она не боится ударов, легко моется и раскладывается за секунды.
Так как миска выполнена из силикона, ее можно мыть в посудомоечной машине.",2360,"снаряжение_NOUN,миска_NOUN,походный_ADJ,набор_NOUN,посуда_NOUN"
667,Походное снаряжение~Фонари~Лампа Outwell Carnelian DC 150 Lantern Cream White,"Лампа Outwell Carnelian DC 150 Lantern идеально подходит для освещения палатки. 
Имеет крючок для подвешивания и съемный фонарь шар. 
Фонарь устойчив к погодным условиям и имеет надежный дизайн, который легко справляется с передрягами палаточной жизни.",3460,"фонарь_NOUN,снаряжение_NOUN,лампа_NOUN,походный_ADJ"
668,Походное снаряжение~Фонари~Лампа Outwell Carnelian 90 Lantern Cream White,"Лампа Outwell Carnelian 90 Lantern имеет 3 режима свечения: яркий, спокойный и мигающий, ночную подсветку, влагостойкий корпус и ручку для переноски.",1770,"фонарь_NOUN,снаряжение_NOUN,лампа_NOUN,походный_ADJ"
669,Походное снаряжение~Фонари~Лампа Outwell Carnelian 600 Lantern Cream White,"Лампа Outwell Carnelian 600 Lantern имеет 3 режима свечения: яркий, спокойный и мигающий, ночную подсветку, влагостойкий корпус и ручку для переноски.",3550,"фонарь_NOUN,снаряжение_NOUN,лампа_NOUN,походный_ADJ"
670,Походное снаряжение~Фонари~Лампа Outwell Carnelian 400 Lantern Cream White,"Лампа Outwell Carnelian 400 Lantern имеет 3 режима свечения: яркий, спокойный и мигающий, ночную подсветку, влагостойкий корпус и ручку для переноски.",2560,"фонарь_NOUN,снаряжение_NOUN,лампа_NOUN,походный_ADJ"
671,Походное снаряжение~Посуда~Кружки~Термокружка Outwell Vacuum Bamboo Mug,"Кружка изготовлена из экологически чистого материала - бамбука, подходит для горячих и холодных напитков. Напиток остается горячим на протяжении нескольких часов.",910,"снаряжение_NOUN,кружка_NOUN,походный_ADJ,посуда_NOUN"
672,"Походное снаряжение~Коврики. Подушки. Полотенца~Подушки, полотенца~Полотенце Outwell Micro Pack Towel L","Легкое полотенце, которое имеет минимальный объем и впитывает влаги больше своего веса.",1830,"снаряжение_NOUN,подушка_NOUN,походный_ADJ,коврик_NOUN,полотенце_NOUN"
673,Походное снаряжение~Посуда~Наборы посуды~Набор посуды Easy Camp Adventure Cook Set L,"EASY CAMP Adventure Cook Set L – компактный набор посуды, рассчитанный на 4 человек. 
Комплект изготовлен из легкого и прочного анодированного алюминия. Набор подойдет для любого отдыха на природе: кемпинг, турпоход, пикник, дача.",3350,"снаряжение_NOUN,походный_ADJ,набор_NOUN,посуда_NOUN"
674,Походное снаряжение~Посуда~Наборы посуды~Набор посуды Easy Camp Adventure Cook Set M,"Adventure Cook Set M – компактный набор посуды, рассчитанный на 2-3 человек. 
Комплект изготовлен из легкого и прочного анодированного  алюминия. 
Набор подойдет для любого отдыха на природе: кемпинг, турпоход, пикник, дача.",3070,"снаряжение_NOUN,походный_ADJ,набор_NOUN,посуда_NOUN"
675,Походное снаряжение~Мебель~Стол Outwell Claros M,"Claros - это портативный стол с аккуратным новым дизайном столешницы. 
Его легко открывать и складывать в чемодан. 
Столик идеально подходит для пикника или кемпинга.",5440,"мебель_NOUN,снаряжение_NOUN,походный_ADJ,стол_NOUN"
676,Походное снаряжение~Гамаки~Гамак Easy Camp Havana Double,"Гамак повышенной прочности, рассчитан на двух человек. 
Широкое полотно — смесь натуральной (хлопок) и синтетической (полиэстер) тканей. Такое решение обеспечило приятный контакт с кожей, устойчивость к загрязнениям и разрывам. Материал не выгорает на солнце, в случае намокания быстро высыхает. 
После долгой эксплуатации полосатая расцветка останется такой же яркой как в день покупки. 
Для переноски и хранения гамака в комплект входит прочный чехол.",4930,"снаряжение_NOUN,походный_ADJ,гамак_NOUN"
677,Походное снаряжение~Мебель~Складной шезлонг Easy Camp Hydra,Комфортный шезлонг быстро раскладывается и не требует дополнительной сборки. Отлично подойдет для принятия солнечных ванн и отдыха на природе. Модель имеет 3 позиции наклона. У чехла есть удобная ручка для переноски.,6910,"мебель_NOUN,снаряжение_NOUN,складной_ADJ,шезлонг_NOUN,походный_ADJ"
678,Походное снаряжение~Коврики. Подушки. Полотенца~Аэроматы (Надувные коврики)~Матрас Outwell Flock Classic w/Pillow & Pump Double,"Очень удобная и практичная двуспальная модель Flock Classic оснащена подушкой по всей ширине верхней части, а также удобным встроенным ножным насосом для быстрого и надежного надувания. 
Жесткий материал ПВХ легко справляется с требованиями жизни в кемпинге с мягким велюровым покрытием, создающим теплую атмосферу. 
Среди практичных деталей – клапан для надувания с двойным уплотнением. 
Аккуратные, практичные конструкции гарантируют комфортный сон – односпальные и двуспальные надувные матрасы Flock Classic – это действительно классика кемпинга.",4250,"снаряжение_NOUN,подушка_NOUN,надувной_ADJ,матрас_NOUN,походный_ADJ,коврик_NOUN,полотенце_NOUN"
679,Походное снаряжение~Рюкзаки~Детские рюкзаки и переноски~Детский рюкзак Easy Camp Scout 20,"Вместительный детский рюкзак для походов и путешествий.
Мягкая сетчатая спинка с анатомическими плечевыми ремнями, регулирующимися по объему обеспечат комфорт маленькому путешественнику. 
Рюкзак закрывается с помощью клапана, есть наружный карман на фронтальной части для мелочей, которые всегда должны быть под рукой.",2960,"снаряжение_NOUN,детский_ADJ,переноска_NOUN,рюкзак_NOUN,походный_ADJ"
680,Походное снаряжение~Рюкзаки~Детские рюкзаки и переноски~Детский рюкзак Easy Camp Cub 13,"Комфортный и легкий рюкзак для ребенка. Имеет мягкую спинку и лямки. Имеет одно большое отделение, а также небольшой фронтальный карман для мелочей.",1950,"снаряжение_NOUN,детский_ADJ,переноска_NOUN,рюкзак_NOUN,походный_ADJ"
681,Походное снаряжение~Коврики. Подушки. Полотенца~Аэроматы (Надувные коврики)~Самонадувающийся коврик Outwell Deepsleep Single 7.5 см,"Deepsleep Single - станет приятным дополнением к вашему отдыху на природе. Высота 7,5 см обеспечит оптимальную теплоизоляцию и создаст максимальный комфорт для сна. Самонадувающийся коврик оснащен новым воздушным клапаном. Внутри коврика используются горизонтальные каналы, которые не только уменьшают размер упаковки, но и вес. В комплекте сумка для компактного хранения и переноски.",8410,"см_NOUN,снаряжение_NOUN,подушка_NOUN,надувной_ADJ,походный_ADJ,коврик_NOUN,полотенце_NOUN"
682,"Походное снаряжение~Коврики. Подушки. Полотенца~Аэроматы (Надувные коврики)~Самонадувающийся коврик Dreamcatcher Double 7,5 см","Серия «Dreamcatcher» сочетает удобную форму с новыми двойными клапанами для быстрого накачивания и спускания. 
Просторный толстый кемпинговый коврик для двоих. Просто расстелите его в палатке и наслаждайтесь комфортным отдыхом.
Dreamcatcher имеет прочный, надежный внешний слой из полиэстера, с антискользящим основанием и простым в использовании пластмассовым клапаном. Увеличенная толщина (7,5 см) обеспечивает превосходную теплоизоляцию даже в холодные дни.
Горизонтальные воздушные каналы обеспечивают дополнительную стабильность и снижают массу коврика.",13350,"см_NOUN,снаряжение_NOUN,подушка_NOUN,надувной_ADJ,походный_ADJ,коврик_NOUN,полотенце_NOUN"
683,Походное снаряжение~Коврики. Подушки. Полотенца~Аэроматы (Надувные коврики)~Самонадувающийся коврик Dreamcatcher Double 5 см 2018,"Просторный кемпинговый коврик для двоих. Просто расстелите его в палатке и наслаждайтесь комфортным отдыхом.
Dreamcatcher имеет прочный, надежный внешний слой из полиэстера, с антискользящим основанием и простым в использовании пластмассовым клапаном
Горизонтальные воздушные каналы обеспечивают дополнительную стабильность и снижают массу коврика.",10870,"см_NOUN,снаряжение_NOUN,подушка_NOUN,надувной_ADJ,походный_ADJ,коврик_NOUN,полотенце_NOUN"
684,Походное снаряжение~Коврики. Подушки. Полотенца~Аэроматы (Надувные коврики)~Самонадувающийся коврик Outwell Sleepin Double 3.0 см,"Outwell Sleepin Double - это самонадувающийся коврик с небольшим весом и интересным современным дизайном. Просто расстелите его в палатке и наслаждайтесь отдыхом.
В комплекте удобный чехол для хранения и транспортировки, убрать в который коврик можно просто свернув его в рулон.",5440,"см_NOUN,снаряжение_NOUN,подушка_NOUN,надувной_ADJ,походный_ADJ,коврик_NOUN,полотенце_NOUN"
685,Походное снаряжение~Туристические палатки~Одноместные палатки~Пляжная палатка Easy Camp Ocean,"Пляжная палатка защитит вас от палящего солнца, умеренного ветра и небольшого дождя, добавив комфорта вашему отдыху.
Палатка легко разбирается прямо из чехла, собрать палатку можно всего за несколько секунд.
В комплекте есть несколько оттяжек и колышков для увеличения устойчивости палатки.",3640,"снаряжение_NOUN,туристический_ADJ,палатка_NOUN,пляжный_ADJ,одноместный_ADJ,походный_ADJ"
686,Одежда~Куртки~Утепленные куртки~Куртка Red Fox Quasar II,"Эта куртка прекрасно подойдет как для гор в качестве пухового ""свитера"", так и для города в прохладное время года.",11800,"куртка_NOUN,одежда_NOUN"
687,Походное снаряжение~Мебель~Набор наконечников HELINOX Chair Ball feet,"Набор из четырех наконечников для стульев Helinox
Совместим с моделями: Sunset Chair, Sunset Chair Home, Camp Chair & Swivel Chair, Chair One XL",2100,"мебель_NOUN,снаряжение_NOUN,наконечник_NOUN,походный_ADJ,набор_NOUN"
688,Походное снаряжение~Мебель~Набор для кресел HELINOX Summer Kit Beach Chair,"Вентилируемая сетка обеспечит комфорт на летнем отдыхе. 
Модель выпущена в рамках ограниченной серии летней коллекции. 
С помощью этой сетки можно собрать или разобрать кресло всего за несколько секунд, в комплекте с набором есть чехол удобный для транспортировки. Совместима с моделями стульев Beach Chair и Sunset Chair. 
Каркас для кресел в набор не входит.",5400,"мебель_NOUN,снаряжение_NOUN,кресло_NOUN,походный_ADJ,набор_NOUN"
